trial_id,dataset,image_path,question_text,correct_answer_text,think_aloud,stimuli_image_path
31,GQA,images/trial_00031.png,Does the giraffe that is to the right of the other giraffe look brown and tall?,yes,False,stimuli/GQA/images/2411098.jpg
32,ChartQA,images/trial_00032.png,What was the youth unemployment rate in China in 2019?,11.01,False,stimuli/ChartQA/train/png/two_col_4402.png
33,GQA,images/trial_00033.png,What do both the bowl and the sink have in common?,color,False,stimuli/GQA/images/2335112.jpg
34,ChartQA,images/trial_00034.png,What was Samsung's brand value in US dollars in 2020?,77793,False,stimuli/ChartQA/train/png/two_col_742.png
35,VisualGenome,images/trial_00035.png,What color is the house?,White.,False,stimuli/VisualGenome/images/2345697.jpg
36,DocVQA-SinglePage,images/trial_00036.png,What was the video about?,internal eclipse,False,stimuli/DocVQA/SinglePage/spdocvqa_images/yhpv0001_7.png
37,DocVQA-SinglePage,images/trial_00037.png,What is the title?,Low Temperature Calorimetry and Statistical Mechanics,False,stimuli/DocVQA/SinglePage/spdocvqa_images/zxfk0226_3.png
38,VisualGenome,images/trial_00038.png,What is the shape of the plate?,Round.,False,stimuli/VisualGenome/images/2321873.jpg
39,DocVQA-SinglePage,images/trial_00039.png,By whom is this ethics agreement written?,Michael L. Dourson,False,stimuli/DocVQA/SinglePage/spdocvqa_images/llcn0226_2.png
40,VisualGenome,images/trial_00040.png,What is the person doing?,Surfing.,False,stimuli/VisualGenome/images/2371110.jpg
41,CLEVR,images/trial_00041.png,Is the tiny object that is right of the rubber ball made of the same material as the tiny ball?,yes,False,stimuli/CLEVR/images/CLEVR_val_007780.png
42,VisualGenome,images/trial_00042.png,What is covering most of the sky?,White clouds.,False,stimuli/VisualGenome/images/2361115.jpg
43,CLEVR,images/trial_00043.png,What number of objects are matte cylinders behind the red cylinder or purple shiny spheres?,2,False,stimuli/CLEVR/images/CLEVR_val_000084.png
44,DocVQA-SinglePage,images/trial_00044.png,when is the memorandum dated?,"january 4 , 1977",False,stimuli/DocVQA/SinglePage/spdocvqa_images/szlf0227_1.png
45,GQA,images/trial_00045.png,Are there kites in this image?,no,False,stimuli/GQA/images/2389181.jpg
46,ChartQA,images/trial_00046.png,What was the estimated value of the Edmonton Oilers franchise in dollars in 2020?,550,False,stimuli/ChartQA/train/png/two_col_62898.png
47,VisualGenome,images/trial_00047.png,Why is the road empty?,There is no traffic.,False,stimuli/VisualGenome/images/2372415.jpg
48,VisualGenome,images/trial_00048.png,What is this lady doing?,Sitting on a seat.,False,stimuli/VisualGenome/images/2372995.jpg
49,VisualGenome,images/trial_00049.png,What color is the bezel on the TV?,Black.,False,stimuli/VisualGenome/images/2338127.jpg
50,CLEVR,images/trial_00050.png,Does the big brown thing have the same shape as the tiny rubber thing that is left of the gray rubber object?,yes,False,stimuli/CLEVR/images/CLEVR_val_000947.png
51,VisualGenome,images/trial_00051.png,Where is the girl?,In the bathroom.,False,stimuli/VisualGenome/images/2351455.jpg
52,VisualGenome,images/trial_00052.png,What color is bright in the background?,Pink.,False,stimuli/VisualGenome/images/2376343.jpg
53,GQA,images/trial_00053.png,Does that watch look black?,no,False,stimuli/GQA/images/2391549.jpg
54,VisualGenome,images/trial_00054.png,What color is the man's shirt?,Grey.,False,stimuli/VisualGenome/images/2358221.jpg
55,VisualGenome,images/trial_00055.png,What is the object that says Bournville Lane?,A sign.,False,stimuli/VisualGenome/images/2333862.jpg
56,GQA,images/trial_00056.png,Are both the toilet and the sink the same color?,yes,False,stimuli/GQA/images/2413052.jpg
57,GQA,images/trial_00057.png,Do the snowpants have blue color?,no,False,stimuli/GQA/images/2356143.jpg
58,VisualGenome,images/trial_00058.png,What room was this picture taken in?,The bathroom.,False,stimuli/VisualGenome/images/2345064.jpg
59,DocVQA-SinglePage,images/trial_00059.png,What is the Budget for Salaries for Iron?,"$4,440",False,stimuli/DocVQA/SinglePage/spdocvqa_images/hxyc0228_2.png
60,CLEVR,images/trial_00060.png,How many other things are there of the same size as the gray rubber thing?,2,False,stimuli/CLEVR/images/CLEVR_val_008086.png
61,DocVQA-SinglePage,images/trial_00061.png,What is the date mentioned in this document?,"February 15, 1974",False,stimuli/DocVQA/SinglePage/spdocvqa_images/xrcy0227_94.png
62,VisualGenome,images/trial_00062.png,When was this picture taken?,During the day.,False,stimuli/VisualGenome/images/2335926.jpg
63,VisualGenome,images/trial_00063.png,What item is used to hear?,Ears.,False,stimuli/VisualGenome/images/2376507.jpg
64,VisualGenome,images/trial_00064.png,Where was the picture taken?,In the family room.,False,stimuli/VisualGenome/images/1591822.jpg
65,DocVQA-Infographics,images/trial_00065.png,What percentage of female graduates from elite schools are not now working full-time?,40%,False,stimuli/DocVQA/Infographics/infographicsvqa_images/40386.jpeg
66,GQA,images/trial_00066.png,Is the boy to the left or to the right of the folding chair?,left,False,stimuli/GQA/images/2398211.jpg
67,VisualGenome,images/trial_00067.png,What color is grass?,Green.,False,stimuli/VisualGenome/images/2338885.jpg
68,GQA,images/trial_00068.png,Are there either lions or zebras?,no,False,stimuli/GQA/images/2377074.jpg
69,GQA,images/trial_00069.png,Is there a keyboard to the left of the man?,yes,False,stimuli/GQA/images/2316905.jpg
70,ChartQA,images/trial_00070.png,How much was Hugo Boss' net sales in the Americas in 2020?,308,False,stimuli/ChartQA/train/png/multi_col_40775.png
71,CLEVR,images/trial_00071.png,Is the color of the small metallic thing the same as the big cylinder?,no,False,stimuli/CLEVR/images/CLEVR_val_003174.png
72,CLEVR,images/trial_00072.png,Is the number of cyan shiny things that are left of the big cyan thing greater than the number of brown cylinders?,no,False,stimuli/CLEVR/images/CLEVR_val_002024.png
73,DocVQA-Infographics,images/trial_00073.png,How many steps are under the heading Quarantine?,2,False,stimuli/DocVQA/Infographics/infographicsvqa_images/10639.jpeg
74,DocVQA-SinglePage,images/trial_00074.png,What is the name of the Brand mentioned in the Contacts?,Cressida Lozano,False,stimuli/DocVQA/SinglePage/spdocvqa_images/fjkw0023_1.png
75,VisualGenome,images/trial_00075.png,What color is her top?,Black.,False,stimuli/VisualGenome/images/2328276.jpg
76,ChartQA,images/trial_00076.png,What was the estimated revenue of the Washington Wizards in 2019/20?,231,False,stimuli/ChartQA/train/png/two_col_23196.png
77,CLEVR,images/trial_00077.png,How many blocks are to the left of the green thing behind the big yellow cube?,1,False,stimuli/CLEVR/images/CLEVR_val_009417.png
78,VisualGenome,images/trial_00078.png,When is the picture taken?,Daytime.,False,stimuli/VisualGenome/images/2376849.jpg
79,VisualGenome,images/trial_00079.png,Where was this picture taken?,In a park.,False,stimuli/VisualGenome/images/1159280.jpg
80,VisualGenome,images/trial_00080.png,Where's the utensils stored?,In can.,False,stimuli/VisualGenome/images/2372156.jpg
81,CLEVR,images/trial_00081.png,The green object that is the same size as the yellow metallic block is what shape?,sphere,False,stimuli/CLEVR/images/CLEVR_val_006550.png
82,VisualGenome,images/trial_00082.png,What color is the bus?,Red.,False,stimuli/VisualGenome/images/498172.jpg
83,VisualGenome,images/trial_00083.png,What is in field?,Palm trees.,False,stimuli/VisualGenome/images/2373250.jpg
84,VisualGenome,images/trial_00084.png,What gender is the person on the beach?,Female.,False,stimuli/VisualGenome/images/2332243.jpg
85,DocVQA-SinglePage,images/trial_00085.png,what is the total of Variable Costs?,"$3,245,000",False,stimuli/DocVQA/SinglePage/spdocvqa_images/zsld0217_30.png
86,VisualGenome,images/trial_00086.png,What color is the paint on the track?,Red.,False,stimuli/VisualGenome/images/2364816.jpg
87,VisualGenome,images/trial_00087.png,Where was the photo taken?,On a city street.,False,stimuli/VisualGenome/images/1592459.jpg
88,ChartQA,images/trial_00088.png,When was the last time mortgage-backed securities were outstanding in the United States?,2000,False,stimuli/ChartQA/train/png/two_col_24542.png
89,VisualGenome,images/trial_00089.png,Who is standing in this picture?,Girl on left.,False,stimuli/VisualGenome/images/2317825.jpg
90,VisualGenome,images/trial_00090.png,What are the cars on?,A street.,False,stimuli/VisualGenome/images/2371505.jpg
91,GQA,images/trial_00091.png,Are there any skateboards?,no,False,stimuli/GQA/images/2338900.jpg
92,VisualGenome,images/trial_00092.png,What color is the train on the right?,Blue.,False,stimuli/VisualGenome/images/2333853.jpg
93,VisualGenome,images/trial_00093.png,What is half in-front of the shower?,A shower curtain.,False,stimuli/VisualGenome/images/2334814.jpg
94,DocVQA-Infographics,images/trial_00094.png,What is the third difficulty mentioned that is faced by LGBT people in prisons?,inadequate access to health care,False,stimuli/DocVQA/Infographics/infographicsvqa_images/30482.jpeg
95,VisualGenome,images/trial_00095.png,Where is the elephant's shadow?,On the ground.,False,stimuli/VisualGenome/images/2368765.jpg
96,VisualGenome,images/trial_00096.png,What is this a picture of?,Pizza.,False,stimuli/VisualGenome/images/2322194.jpg
97,ChartQA,images/trial_00097.png,What team has been much more successful since the start of the new millennium?,New England Patriots,False,stimuli/ChartQA/train/png/two_col_338.png
98,GQA,images/trial_00098.png,Does the person in front of the ocean seem to be skiing?,no,False,stimuli/GQA/images/2362040.jpg
99,CLEVR,images/trial_00099.png,Is there a yellow object that has the same material as the purple cylinder?,no,False,stimuli/CLEVR/images/CLEVR_val_014093.png
100,VisualGenome,images/trial_00100.png,What is the picture showing?,A bus.,False,stimuli/VisualGenome/images/2343515.jpg
101,VisualGenome,images/trial_00101.png,Where is the cup?,On the counter.,False,stimuli/VisualGenome/images/2324646.jpg
102,ChartQA,images/trial_00102.png,What percentage of all dogs owned in Brazil are mixed breed dogs?,23.54,False,stimuli/ChartQA/train/png/two_col_63443.png
103,VisualGenome,images/trial_00103.png,What color is the fur on the cat's paw?,White.,False,stimuli/VisualGenome/images/2351607.jpg
104,CLEVR,images/trial_00104.png,What shape is the tiny gray matte object to the right of the gray sphere that is left of the large red thing left of the tiny gray metallic sphere?,sphere,False,stimuli/CLEVR/images/CLEVR_val_004948.png
105,VisualGenome,images/trial_00105.png,What is thinly sliced and on top of the bagels?,Meat.,False,stimuli/VisualGenome/images/2374860.jpg
106,VisualGenome,images/trial_00106.png,How is this a photo of?,An airplane at the airport.,False,stimuli/VisualGenome/images/2316057.jpg
107,VisualGenome,images/trial_00107.png,Where was this photo taken?,Gay St.,False,stimuli/VisualGenome/images/2335364.jpg
108,GQA,images/trial_00108.png,Are there either cars or buses in the photograph?,no,False,stimuli/GQA/images/2360121.jpg
109,CLEVR,images/trial_00109.png,What number of small balls are the same color as the tiny metallic block?,1,False,stimuli/CLEVR/images/CLEVR_val_002364.png
110,VisualGenome,images/trial_00110.png,What is next to the doughnuts?,A drink.,False,stimuli/VisualGenome/images/2339298.jpg
111,CLEVR,images/trial_00111.png,Is the material of the big green thing the same as the tiny sphere on the left side of the green shiny cylinder?,yes,False,stimuli/CLEVR/images/CLEVR_val_012873.png
112,DocVQA-SinglePage,images/trial_00112.png,What is the subject mentioned in the fax?,Canada results,False,stimuli/DocVQA/SinglePage/spdocvqa_images/gqyl0052_2.png
113,GQA,images/trial_00113.png,Are there either any girls or glasses in this picture?,no,False,stimuli/GQA/images/2412784.jpg
114,VisualGenome,images/trial_00114.png,What is frothed on the sand?,White bubbles.,False,stimuli/VisualGenome/images/2360028.jpg
115,VisualGenome,images/trial_00115.png,Where is the food?,On a table.,False,stimuli/VisualGenome/images/2324322.jpg
116,VisualGenome,images/trial_00116.png,Where is the baby?,In the man's hands.,False,stimuli/VisualGenome/images/2338564.jpg
117,GQA,images/trial_00117.png,Does the dumpster made of steel have large size?,no,False,stimuli/GQA/images/2367836.jpg
118,VisualGenome,images/trial_00118.png,Where is this scene?,At this person's work desk.,False,stimuli/VisualGenome/images/2315521.jpg
119,VisualGenome,images/trial_00119.png,What color is the ball?,White.,False,stimuli/VisualGenome/images/2322973.jpg
120,VisualGenome,images/trial_00120.png,What color are the letters on the frisbee?,Black.,False,stimuli/VisualGenome/images/2328546.jpg
121,DocVQA-SinglePage,images/trial_00121.png,what is the term of agreement ?,"January 1, 2001 - December 31, 2001",False,stimuli/DocVQA/SinglePage/spdocvqa_images/ksmj0226_1.png
122,VisualGenome,images/trial_00122.png,How many animals are pictured?,One.,False,stimuli/VisualGenome/images/2352334.jpg
123,CLEVR,images/trial_00123.png,What is the size of the object that is in front of the tiny brown matte thing and to the left of the tiny gray ball?,small,False,stimuli/CLEVR/images/CLEVR_val_003212.png
124,VisualGenome,images/trial_00124.png,What color is the man behind the bus wearing?,Black.,False,stimuli/VisualGenome/images/2342461.jpg
125,VisualGenome,images/trial_00125.png,Why is the image taken?,Remembrance.,False,stimuli/VisualGenome/images/2361969.jpg
126,VisualGenome,images/trial_00126.png,What direction is left bear looking?,To its right.,False,stimuli/VisualGenome/images/61518.jpg
127,VisualGenome,images/trial_00127.png,What color is the tape on the floor?,Yellow.,False,stimuli/VisualGenome/images/2317882.jpg
128,VisualGenome,images/trial_00128.png,Where was this photo taken?,In a kitchen.,False,stimuli/VisualGenome/images/713377.jpg
129,GQA,images/trial_00129.png,Are there any fences or cars?,no,False,stimuli/GQA/images/2356455.jpg
130,VisualGenome,images/trial_00130.png,What color is the meat?,Brown.,False,stimuli/VisualGenome/images/2318725.jpg
131,VisualGenome,images/trial_00131.png,How many zebras are there?,One.,False,stimuli/VisualGenome/images/2320880.jpg
132,ChartQA,images/trial_00132.png,How much money did Allergan invest in R&D in 2019?,1812,False,stimuli/ChartQA/train/png/two_col_21887.png
133,CLEVR,images/trial_00133.png,What number of large objects have the same material as the large brown block?,1,False,stimuli/CLEVR/images/CLEVR_val_010927.png
134,ChartQA,images/trial_00134.png,What was the leading lip balm and cold sore medication vendor in the United States in 2012?,Glaxosmithkline,False,stimuli/ChartQA/train/png/two_col_23881.png
135,VisualGenome,images/trial_00135.png,What is the color of the bench?,Black.,False,stimuli/VisualGenome/images/2339370.jpg
136,CLEVR,images/trial_00136.png,Is the size of the yellow metal cylinder the same as the rubber ball that is on the right side of the gray metal thing?,no,False,stimuli/CLEVR/images/CLEVR_val_009757.png
137,ChartQA,images/trial_00137.png,What was the value of M&A deals in Europe in June 2015?,93.3,False,stimuli/ChartQA/train/png/two_col_40663.png
138,GQA,images/trial_00138.png,Is the blue sky clear or cloudy?,clear,False,stimuli/GQA/images/2636.jpg
139,DocVQA-SinglePage,images/trial_00139.png,For whom is a special 1Q 2000 add-on program available?,only to full or bonus partners,False,stimuli/DocVQA/SinglePage/spdocvqa_images/fsxn0020_1.png
140,VisualGenome,images/trial_00140.png,How many people are there?,One.,False,stimuli/VisualGenome/images/2329480.jpg
141,CLEVR,images/trial_00141.png,There is a yellow thing that is the same size as the matte cylinder; what is it made of?,metal,False,stimuli/CLEVR/images/CLEVR_val_008023.png
142,VisualGenome,images/trial_00142.png,Why is the man holding a bat?,He is playing baseball.,False,stimuli/VisualGenome/images/2348667.jpg
143,GQA,images/trial_00143.png,Is any fence visible in this photograph?,yes,False,stimuli/GQA/images/2360080.jpg
144,VisualGenome,images/trial_00144.png,Where was the photo taken?,Ocean.,False,stimuli/VisualGenome/images/2340889.jpg
145,VisualGenome,images/trial_00145.png,What color are the sheets?,Red.,False,stimuli/VisualGenome/images/2337068.jpg
146,GQA,images/trial_00146.png,Do you see either any hat or fence?,yes,False,stimuli/GQA/images/2368989.jpg
147,GQA,images/trial_00147.png,Is the cup on the right side or on the left?,left,False,stimuli/GQA/images/2373271.jpg
148,VisualGenome,images/trial_00148.png,How many rackets can we see?,Two.,False,stimuli/VisualGenome/images/2371987.jpg
149,VisualGenome,images/trial_00149.png,Where are the drinks?,On the table.,False,stimuli/VisualGenome/images/285683.jpg
150,DocVQA-SinglePage,images/trial_00150.png,What is Mel's date of birth?,5/24/47,False,stimuli/DocVQA/SinglePage/spdocvqa_images/hnnp0227_24.png
151,VisualGenome,images/trial_00151.png,What color is the surfboard?,Red.,False,stimuli/VisualGenome/images/2322962.jpg
152,CLEVR,images/trial_00152.png,Is the big cube in front of the small matte sphere made of the same material as the sphere that is left of the red rubber cylinder?,yes,False,stimuli/CLEVR/images/CLEVR_val_000817.png
153,VisualGenome,images/trial_00153.png,What is underneath the coffee table?,Books and magazines.,False,stimuli/VisualGenome/images/2348868.jpg
154,CLEVR,images/trial_00154.png,There is a blue rubber thing left of the blue ball; what shape is it?,cube,False,stimuli/CLEVR/images/CLEVR_val_005403.png
155,ChartQA,images/trial_00155.png,In what country did LinkedIn have a reach of almost 101 percent as of April 2021?,Bermuda,False,stimuli/ChartQA/train/png/two_col_42981.png
156,VisualGenome,images/trial_00156.png,How many bottles are there?,One.,False,stimuli/VisualGenome/images/2365049.jpg
157,ChartQA,images/trial_00157.png,How much did the value of the hotel industry in the U.S. increase in 2015?,7.2,False,stimuli/ChartQA/train/png/two_col_20205.png
158,ChartQA,images/trial_00158.png,Who is the second largest group of believers in Russia?,Muslims,False,stimuli/ChartQA/train/png/multi_col_80805.png
159,VisualGenome,images/trial_00159.png,Where are the women?,On the field.,False,stimuli/VisualGenome/images/2346642.jpg
160,CLEVR,images/trial_00160.png,There is a object that is right of the big gray object and in front of the purple metallic object; what is its material?,rubber,False,stimuli/CLEVR/images/CLEVR_val_011514.png
161,VisualGenome,images/trial_00161.png,How many couches are there?,1.,False,stimuli/VisualGenome/images/2346631.jpg
162,VisualGenome,images/trial_00162.png,Where is the light?,On the ceiling.,False,stimuli/VisualGenome/images/2344303.jpg
163,CLEVR,images/trial_00163.png,The small object that is both on the right side of the tiny rubber ball and in front of the large green rubber object is what color?,purple,False,stimuli/CLEVR/images/CLEVR_val_003320.png
164,CLEVR,images/trial_00164.png,How many things are big metallic blocks or tiny metallic objects behind the big gray metal object?,2,False,stimuli/CLEVR/images/CLEVR_val_009904.png
165,CLEVR,images/trial_00165.png,Is the material of the purple block the same as the large cyan cube?,no,False,stimuli/CLEVR/images/CLEVR_val_011862.png
166,VisualGenome,images/trial_00166.png,What color is the cat?,Brown.,False,stimuli/VisualGenome/images/2337548.jpg
167,VisualGenome,images/trial_00167.png,What structure is to the right?,Bathtub.,False,stimuli/VisualGenome/images/2360786.jpg
168,VisualGenome,images/trial_00168.png,What type of animal is laying next to the man?,A dog.,False,stimuli/VisualGenome/images/2375589.jpg
169,VisualGenome,images/trial_00169.png,What is the cat sitting on?,Motorcycle seat.,False,stimuli/VisualGenome/images/2368778.jpg
170,ChartQA,images/trial_00170.png,"How many Christmas cards did UK consumers plan to send in 2012, 2013 and 2014?",17,False,stimuli/ChartQA/train/png/two_col_101524.png
171,VisualGenome,images/trial_00171.png,How many people are on the front elephant?,Three.,False,stimuli/VisualGenome/images/2356825.jpg
172,VisualGenome,images/trial_00172.png,How many kids?,2.,False,stimuli/VisualGenome/images/2320020.jpg
173,VisualGenome,images/trial_00173.png,Where was this taken?,At a table.,False,stimuli/VisualGenome/images/2326221.jpg
174,VisualGenome,images/trial_00174.png,Where is the lamp?,End table by Chair.,False,stimuli/VisualGenome/images/2361300.jpg
175,ChartQA,images/trial_00175.png,What was the total value of the UK grocery market in 2012?,192.6,False,stimuli/ChartQA/train/png/two_col_1778.png
176,CLEVR,images/trial_00176.png,There is a rubber object that is in front of the large cyan matte object and behind the tiny purple cube; what color is it?,cyan,False,stimuli/CLEVR/images/CLEVR_val_011715.png
177,ChartQA,images/trial_00177.png,How many Brazilian reals did Smartfit generate in 2014?,408.2,False,stimuli/ChartQA/train/png/two_col_40279.png
178,ChartQA,images/trial_00178.png,What was the mean cost to develop a compound in the original study cohort?,2.51,False,stimuli/ChartQA/train/png/multi_col_20989.png
179,ChartQA,images/trial_00179.png,What was the resident unemployment rate in 2020?,4.1,False,stimuli/ChartQA/train/png/two_col_82290.png
180,VisualGenome,images/trial_00180.png,What color is the sky?,Blue.,False,stimuli/VisualGenome/images/2360405.jpg
181,CLEVR,images/trial_00181.png,There is a big cylinder that is to the left of the small blue cylinder; does it have the same color as the cube?,no,False,stimuli/CLEVR/images/CLEVR_val_000870.png
182,VisualGenome,images/trial_00182.png,How many boats are in the picture?,4.,False,stimuli/VisualGenome/images/2317092.jpg
183,DocVQA-SinglePage,images/trial_00183.png,What is the name of the publishing group?,THE PARTHENON PUBLISHING GROUP,False,stimuli/DocVQA/SinglePage/spdocvqa_images/ttdw0217_2.png
184,CLEVR,images/trial_00184.png,Is the number of tiny gray balls to the right of the small rubber sphere the same as the number of rubber objects behind the large brown object?,yes,False,stimuli/CLEVR/images/CLEVR_val_013270.png
185,VisualGenome,images/trial_00185.png,Where was this taken?,Lake.,False,stimuli/VisualGenome/images/2347250.jpg
186,ChartQA,images/trial_00186.png,Who is the career receiving leader of the New England Patriots?,Stanley Morgan,False,stimuli/ChartQA/train/png/two_col_4328.png
187,DocVQA-SinglePage,images/trial_00187.png,What is the agreement effective date?,7/1/98,False,stimuli/DocVQA/SinglePage/spdocvqa_images/jkmm0020_13.png
188,VisualGenome,images/trial_00188.png,How many fingers is the man pointing?,One.,False,stimuli/VisualGenome/images/2330174.jpg
189,ScienceQA,images/trial_00189.png,Which of the following was a dependent variable in this experiment?,the size of each dough ball,False,stimuli/ScienceQA/images/train/19555/image.png
190,ChartQA,images/trial_00190.png,What year was Northrop Grumman's research and development expenditures first reported?,2008,False,stimuli/ChartQA/train/png/two_col_22682.png
191,VisualGenome,images/trial_00191.png,Who is standing still in the picture?,A Man.,False,stimuli/VisualGenome/images/2352291.jpg
192,VisualGenome,images/trial_00192.png,What is on the boy's shirt?,A bow tie.,False,stimuli/VisualGenome/images/2339950.jpg
193,VisualGenome,images/trial_00193.png,What color is the table?,The table is white.,False,stimuli/VisualGenome/images/2319655.jpg
194,VisualGenome,images/trial_00194.png,What color is the hydrant?,Red and yellow.,False,stimuli/VisualGenome/images/2320569.jpg
195,DocVQA-SinglePage,images/trial_00195.png,What is the date of birth of the applicant?,9-26-38,False,stimuli/DocVQA/SinglePage/spdocvqa_images/hnnp0227_8.png
196,VisualGenome,images/trial_00196.png,What color is the sky?,Blue.,False,stimuli/VisualGenome/images/2333965.jpg
197,VisualGenome,images/trial_00197.png,Who is playing tennis?,A woman.,False,stimuli/VisualGenome/images/2361919.jpg
198,CLEVR,images/trial_00198.png,Are there an equal number of large metal things that are in front of the gray shiny cylinder and large red metallic cylinders behind the big red shiny cylinder?,no,False,stimuli/CLEVR/images/CLEVR_val_007339.png
199,VisualGenome,images/trial_00199.png,What color is the grass?,Green.,False,stimuli/VisualGenome/images/2367282.jpg
200,VisualGenome,images/trial_00200.png,What is this matching set of clothes the baseball player wears?,Uniform.,False,stimuli/VisualGenome/images/2360492.jpg
201,DocVQA-SinglePage,images/trial_00201.png,what is the teaching aid number mentioned in the given page ?,11,False,stimuli/DocVQA/SinglePage/spdocvqa_images/jlbc0228_2.png
202,CLEVR,images/trial_00202.png,Do the tiny matte thing to the left of the gray metallic cylinder and the metal cylinder have the same color?,no,False,stimuli/CLEVR/images/CLEVR_val_001022.png
203,GQA,images/trial_00203.png,Do you see any pepperoni to the left of the red pepper?,no,False,stimuli/GQA/images/2327787.jpg
204,ChartQA,images/trial_00204.png,How many dollars did Itao Unibanco deposit as of September 2019?,129.14,False,stimuli/ChartQA/train/png/two_col_23692.png
205,GQA,images/trial_00205.png,What is common to the jersey and the glove?,color,False,stimuli/GQA/images/2352878.jpg
206,DocVQA-SinglePage,images/trial_00206.png,What is the total amount mentioned in the voucher?,$596.73,False,stimuli/DocVQA/SinglePage/spdocvqa_images/nllg0227_3.png
207,VisualGenome,images/trial_00207.png,What is on the plate?,Whip cream.,False,stimuli/VisualGenome/images/2367376.jpg
208,CLEVR,images/trial_00208.png,There is a gray thing that is made of the same material as the tiny blue thing; what shape is it?,sphere,False,stimuli/CLEVR/images/CLEVR_val_005453.png
209,VisualGenome,images/trial_00209.png,What is the number of planes?,One airplane.,False,stimuli/VisualGenome/images/2370453.jpg
210,VisualGenome,images/trial_00210.png,Where is the gravel?,In the grass.,False,stimuli/VisualGenome/images/2366369.jpg
211,ChartQA,images/trial_00211.png,How many people were convicted of crime against a person as of December 2020?,23095,False,stimuli/ChartQA/train/png/two_col_80200.png
